Holiday,IS_HOLIDAY,A_DATE
Not Categorized,,7/4/1722
Not Categorized,,7/5/1722
Not Categorized,,7/6/1722
Not Categorized,,7/7/1722
Not Categorized,,7/8/1722
Not Categorized,,7/9/1722
Not Categorized,,7/10/1722
Not Categorized,,7/11/1722
Not Categorized,,7/12/1722
Not Categorized,,7/13/1722
Not Categorized,,7/14/1722
Not Categorized,,7/15/1722
Not Categorized,,7/16/1722
Not Categorized,,7/17/1722
Not Categorized,,7/18/1722
Not Categorized,,7/19/1722
Not Categorized,,7/20/1722
Not Categorized,,7/21/1722
Not Categorized,,7/22/1722
Not Categorized,,7/23/1722
Not Categorized,,7/24/1722
Not Categorized,,7/25/1722
Not Categorized,,7/26/1722
Not Categorized,,7/27/1722
Not Categorized,,7/28/1722
Not Categorized,,7/29/1722
Not Categorized,,7/30/1722
Not Categorized,,7/31/1722
Not Categorized,,8/1/1722
Not Categorized,,8/2/1722
Not Categorized,,8/3/1722
Not Categorized,,8/4/1722
Not Categorized,,8/5/1722
Not Categorized,,8/6/1722
Not Categorized,,8/7/1722
Not Categorized,,8/8/1722
Not Categorized,,8/9/1722
Not Categorized,,8/10/1722
Not Categorized,,8/11/1722
Not Categorized,,8/12/1722
Not Categorized,,8/13/1722
Not Categorized,,8/14/1722
Not Categorized,,8/15/1722
Not Categorized,,8/16/1722
Not Categorized,,8/17/1722
Not Categorized,,8/18/1722
Not Categorized,,8/19/1722
Not Categorized,,8/20/1722
Not Categorized,,8/21/1722
Not Categorized,,8/22/1722
Not Categorized,,8/23/1722
Not Categorized,,8/24/1722
Not Categorized,,8/25/1722
Not Categorized,,8/26/1722
Not Categorized,,8/27/1722
Not Categorized,,8/28/1722
Not Categorized,,8/29/1722
Not Categorized,,8/30/1722
Not Categorized,,8/31/1722
Not Categorized,,9/1/1722
Not Categorized,,9/2/1722
Not Categorized,,9/3/1722
Not Categorized,,9/4/1722
Not Categorized,,9/5/1722
Not Categorized,,9/6/1722
Not Categorized,,9/7/1722
Not Categorized,,9/8/1722
Not Categorized,,9/9/1722
Not Categorized,,9/10/1722
Not Categorized,,9/11/1722
Not Categorized,,9/12/1722
Not Categorized,,9/13/1722
Not Categorized,,9/14/1722
Not Categorized,,9/15/1722
Not Categorized,,9/16/1722
Not Categorized,,9/17/1722
Not Categorized,,9/18/1722
Not Categorized,,9/19/1722
Not Categorized,,9/20/1722
Not Categorized,,9/21/1722
Not Categorized,,9/22/1722
Not Categorized,,9/23/1722
Not Categorized,,9/24/1722
Not Categorized,,9/25/1722
Not Categorized,,9/26/1722
Not Categorized,,9/27/1722
Not Categorized,,9/28/1722
Not Categorized,,9/29/1722
Not Categorized,,9/30/1722
Not Categorized,,10/1/1722
Not Categorized,,10/2/1722
Not Categorized,,10/3/1722
Not Categorized,,10/4/1722
Not Categorized,,10/5/1722
Not Categorized,,10/6/1722
Not Categorized,,10/7/1722
Not Categorized,,10/8/1722
Not Categorized,,10/9/1722
Not Categorized,,10/10/1722
Not Categorized,,10/11/1722
Not Categorized,,10/12/1722
Not Categorized,,10/13/1722
Not Categorized,,10/14/1722
Not Categorized,,10/15/1722
Not Categorized,,10/16/1722
Not Categorized,,10/17/1722
Not Categorized,,10/18/1722
Not Categorized,,10/19/1722
Not Categorized,,10/20/1722
Not Categorized,,10/21/1722
Not Categorized,,10/22/1722
Not Categorized,,10/23/1722
Not Categorized,,10/24/1722
Not Categorized,,10/25/1722
Not Categorized,,10/26/1722
Not Categorized,,10/27/1722
Not Categorized,,10/28/1722
Not Categorized,,10/29/1722
Not Categorized,,10/30/1722
Not Categorized,,10/31/1722
Not Categorized,,11/1/1722
Not Categorized,,11/2/1722
Not Categorized,,11/3/1722
Not Categorized,,11/4/1722
Not Categorized,,11/5/1722
Not Categorized,,11/6/1722
Not Categorized,,11/7/1722
Not Categorized,,11/8/1722
Not Categorized,,11/9/1722
Not Categorized,,11/10/1722
Not Categorized,,11/11/1722
Not Categorized,,11/12/1722
Not Categorized,,11/13/1722
Not Categorized,,11/14/1722
Not Categorized,,11/15/1722
Not Categorized,,11/16/1722
Not Categorized,,11/17/1722
Not Categorized,,11/18/1722
Not Categorized,,11/19/1722
Not Categorized,,11/20/1722
Not Categorized,,11/21/1722
Not Categorized,,11/22/1722
Not Categorized,,11/23/1722
Not Categorized,,11/24/1722
Not Categorized,,11/25/1722
Not Categorized,,11/26/1722
Not Categorized,,11/27/1722
Not Categorized,,11/28/1722
Not Categorized,,11/29/1722
Not Categorized,,11/30/1722
Not Categorized,,12/1/1722
Not Categorized,,12/2/1722
Not Categorized,,12/3/1722
Not Categorized,,12/4/1722
Not Categorized,,12/5/1722
Not Categorized,,12/6/1722
Not Categorized,,12/7/1722
Not Categorized,,12/8/1722
Not Categorized,,12/9/1722
Not Categorized,,12/10/1722
Not Categorized,,12/11/1722
Not Categorized,,12/12/1722
Not Categorized,,12/13/1722
Not Categorized,,12/14/1722
Not Categorized,,12/15/1722
Not Categorized,,12/16/1722
Not Categorized,,12/17/1722
Not Categorized,,12/18/1722
Not Categorized,,12/19/1722
Not Categorized,,12/20/1722
Not Categorized,,12/21/1722
Not Categorized,,12/22/1722
Not Categorized,,12/23/1722
Not Categorized,,12/24/1722
Not Categorized,,12/25/1722
Not Categorized,,12/26/1722
Not Categorized,,12/27/1722
Not Categorized,,12/28/1722
Not Categorized,,12/29/1722
Not Categorized,,12/30/1722
Not Categorized,,12/31/1722
Not Categorized,,1/1/1723
Not Categorized,,1/2/1723
Not Categorized,,1/3/1723
Not Categorized,,1/4/1723
Not Categorized,,1/5/1723
Not Categorized,,1/6/1723
Not Categorized,,1/7/1723
Not Categorized,,1/8/1723
Not Categorized,,1/9/1723
Not Categorized,,1/10/1723
Not Categorized,,1/11/1723
Not Categorized,,1/12/1723
Not Categorized,,1/13/1723
Not Categorized,,1/14/1723
Not Categorized,,1/15/1723
Not Categorized,,1/16/1723
Not Categorized,,1/17/1723
Not Categorized,,1/18/1723
Not Categorized,,1/19/1723
Not Categorized,,1/20/1723
Not Categorized,,1/21/1723
Not Categorized,,1/22/1723
Not Categorized,,1/23/1723
Not Categorized,,1/24/1723
Not Categorized,,1/25/1723
Not Categorized,,1/26/1723
Not Categorized,,1/27/1723
Not Categorized,,1/28/1723
Not Categorized,,1/29/1723
Not Categorized,,1/30/1723
Not Categorized,,1/31/1723
Not Categorized,,2/1/1723
Not Categorized,,2/2/1723
Not Categorized,,2/3/1723
Not Categorized,,2/4/1723
Not Categorized,,2/5/1723
Not Categorized,,2/6/1723
Not Categorized,,2/7/1723
Not Categorized,,2/8/1723
Not Categorized,,2/9/1723
Not Categorized,,2/10/1723
Not Categorized,,2/11/1723
Not Categorized,,2/12/1723
Not Categorized,,2/13/1723
Not Categorized,,2/14/1723
Not Categorized,,2/15/1723
Not Categorized,,2/16/1723
Not Categorized,,2/17/1723
Not Categorized,,2/18/1723
Not Categorized,,2/19/1723
Not Categorized,,2/20/1723
Not Categorized,,2/21/1723
Not Categorized,,2/22/1723
Not Categorized,,2/23/1723
Not Categorized,,2/24/1723
Not Categorized,,2/25/1723
Not Categorized,,2/26/1723
Not Categorized,,2/27/1723
Not Categorized,,2/28/1723
Not Categorized,,3/1/1723
Not Categorized,,3/2/1723
Not Categorized,,3/3/1723
Not Categorized,,3/4/1723
Not Categorized,,3/5/1723
Not Categorized,,3/6/1723
Not Categorized,,3/7/1723
Not Categorized,,3/8/1723
Not Categorized,,3/9/1723
Not Categorized,,3/10/1723
Not Categorized,,3/11/1723
Not Categorized,,3/12/1723
Not Categorized,,3/13/1723
Not Categorized,,3/14/1723
Not Categorized,,3/15/1723
Not Categorized,,3/16/1723
Not Categorized,,3/17/1723
Not Categorized,,3/18/1723
Not Categorized,,3/19/1723
Not Categorized,,3/20/1723
Not Categorized,,3/21/1723
Not Categorized,,3/22/1723
Not Categorized,,3/23/1723
Not Categorized,,3/24/1723
Not Categorized,,3/25/1723
Not Categorized,,3/26/1723
Not Categorized,,3/27/1723
Not Categorized,,3/28/1723
Not Categorized,,3/29/1723
Not Categorized,,3/30/1723
Not Categorized,,3/31/1723
Not Categorized,,4/1/1723
Not Categorized,,4/2/1723
Not Categorized,,4/3/1723
Not Categorized,,4/4/1723
Not Categorized,,4/5/1723
Not Categorized,,4/6/1723
Not Categorized,,4/7/1723
Not Categorized,,4/8/1723
Not Categorized,,4/9/1723
Not Categorized,,4/10/1723
Not Categorized,,4/11/1723
Not Categorized,,4/12/1723
Not Categorized,,4/13/1723
Not Categorized,,4/14/1723
Not Categorized,,4/15/1723
Not Categorized,,4/16/1723
Not Categorized,,4/17/1723
Not Categorized,,4/18/1723
Not Categorized,,4/19/1723
Not Categorized,,4/20/1723
Not Categorized,,4/21/1723
Not Categorized,,4/22/1723
Not Categorized,,4/23/1723
Not Categorized,,4/24/1723
Not Categorized,,4/25/1723
Not Categorized,,4/26/1723
Not Categorized,,4/27/1723
Not Categorized,,4/28/1723
Not Categorized,,4/29/1723
Not Categorized,,4/30/1723
Not Categorized,,5/1/1723
Not Categorized,,5/2/1723
Not Categorized,,5/3/1723
