State,State abbreviations,Region
Alabama,AL,South
Alaska,AK,West
Arizona,AZ,West
Arkansas,AR,South
California,CA,West
Colorado,CO,West
Connecticut,CT,East
Delaware,DE,East
District of Columbia,DC,East
Florida,FL,South
Georgia,GA,South
Hawaii,HI,West
Idaho,ID,West
Illinois,IL,Central
Indiana,IN,Central
Iowa,IA,Central
Kansas,KS,Central
Kentucky,KY,South
Louisiana,LA,South
Maine,ME,East
Maryland,MD,East
Massachusetts,MA,East
Michigan,MI,Central
Minnesota,MN,Central
Mississippi,MS,South
Missouri,MO,Central
Montana,MT,West
Nebraska,NE,Central
Nevada,NV,West
New Hampshire,NH,East
New Jersey,NJ,East
New Mexico,NM,West
New York,NY,East
North Carolina,NC,South
North Dakota,ND,Central
Ohio,OH,East
Oklahoma,OK,Central
Oregon,OR,West
Pennsylvania,PA,East
Rhode Island,RI,East
South Carolina,SC,South
South Dakota,SD,Central
Tennessee,TN,South
Texas,TX,Central
Utah,UT,West
Vermont,VT,East
Virginia,VA,South
Washington,WA,West
West Virginia,WV,East
Wisconsin,WI,Central
Wyoming,WY,West
